CODIGO DA TRANSACAO;DATA;TIPO;DESCRICAO;VALOR
a3962376-3e05-449f-9ecf-677a01198a82;10/05/2025;Cobrança Seguro Cartão Protegido;Para: PAGSEGURO INTERNET INSTITUICAO DE PAGAMENTO ;-7,90 
194c56eb-c461-4dcb-a52c-77cc672b2509;10/05/2025;Mensalidade Seguro Conta;Para: PAGSEGURO INTERNET INSTITUICAO DE PAGAMENTO ;-6,90 
737b573c-9a9a-4e0b-b8da-5d38c58f6e7b;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;86,62 
c055b439-b919-455e-afb1-1e1c79f12432;10/05/2025;Vendas;Disponivel CREDITO VISA;340,93 
75ac7b9d-041e-4ffb-961e-3e31db5a7bbc;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;86,62 
ac3554d1-7014-4e10-b20e-8ce1808b8715;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;233,78 
c8e23e05-da99-4b73-9582-39c6844e890a;10/05/2025;Vendas;Disponivel CREDITO VISA;175,34 
4502eb1e-c7a8-41b2-9108-d324ec406caf;10/05/2025;Vendas;Disponivel DEBITO MASTERCARD;88,69 
97f6774b-94bd-48a0-93d5-de44702a744a;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;87,67 
9b7a8406-fe93-41e5-ae80-b9a01bef0101;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;263,01 
8d5687ef-de8d-4af8-baaa-c2e2fc03e290;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;48,12 
e0879f54-e6b3-4f50-8a9c-0bc805924872;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;175,34 
5e1c86ba-ff0e-423c-aec5-914a4c6ec410;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;86,62 
66ba8b73-e684-413d-8a8d-c23f256a6265;10/05/2025;Vendas;Disponivel CREDITO MASTERCARD;253,27 
17154ca7-4dd6-4508-83f4-faf900e7beb8;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;163,61 
d97e9363-188b-479e-8035-bad57b699834;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;331,19 
c99d0e85-00c9-4600-a75b-54bbcc474afd;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;87,67 
02813c5f-391a-418f-98db-bac1268c36c2;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;163,61 
86afab65-acde-4a51-bb8b-59fbded2578a;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;48,12 
43f497a4-8535-4d3a-812c-1caaafc7c7f6;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;259,85 
4a224a8c-5aa1-409d-9822-07a2e5ee9d74;17/05/2025;Vendas;Disponivel CREDITO VISA;263,01 
b9986968-1566-43c9-b965-7e8a9485c599;17/05/2025;Vendas;Disponivel CREDITO MASTERCARD;175,34 
3bebd6ac-6f0d-4e92-a02d-468a3046a962;24/05/2025;Vendas;Disponivel CREDITO ELO;38,23 
c3f8584d-f4a2-4c89-974f-a16d2fa705fc;24/05/2025;Vendas;Disponivel CREDITO MASTERCARD;19,25 
13c0bb70-502f-4bc8-bff7-bb68ddba3f31;24/05/2025;Vendas;Disponivel CREDITO MASTERCARD;87,67 
632f91d7-581e-471c-909a-6df7e5a6f75d;24/05/2025;Cancelamento de venda;Débito em função de cancelamento total da venda;-86,62 
dc65e5bd-5e29-4d4c-9aa4-bea1a343c0ad;24/05/2025;Vendas;Disponivel CREDITO MASTERCARD;86,62 
1c556095-3cb7-4173-8960-51ace854c6cb;24/05/2025;Vendas;Disponivel CREDITO VISA;86,62 
44edc4c9-5572-4c01-9d56-c910bc86c16c;24/05/2025;Vendas;Disponivel DEBITO MASTERCARD;98,55 
