IGREJA GRACA VIDA;Emitido em 11 de maio de 2025, 12:07;
CNPJ: 19.786.779/0001-40;Período: 05/05/2025 até 11/05/2025;
;290 - PagSeguro Internet S/A
;Agência 0001 - Conta Corrente 73061983-0

Recebido bruto total;R$ 1.980,00;
Descontos;-R$ 53,99;
Valor antecipado bruto;R$ 0,00;
Recebido líquido total;R$ 1.926,01;

Data da liberação;Forma de pagamento;Qtd. de vendas;Código de recebimento;Valor bruto;Descontos;Valor líquido
10/05/2025;Mastercard Crédito;1 venda;C4361555-47EB-4DAA-B72A-93734F983FD7;R$ 90,00;-R$ 3,38;R$ 86,62;
10/05/2025;Visa Crédito;1 venda;3E746AAE-33CA-4726-B0D5-1C4FF3CA24CD;R$ 350,00;-R$ 9,07;R$ 340,93;
10/05/2025;Mastercard Crédito;1 venda;01AAC9BF-E91A-4EA7-BDC7-DC0EDF5CC999;R$ 90,00;-R$ 3,38;R$ 86,62;
10/05/2025;Mastercard Crédito;1 venda;24A011DF-67A7-473C-A4F0-65F24A5923E9;R$ 240,00;-R$ 6,22;R$ 233,78;
10/05/2025;Visa Crédito;1 venda;40D51013-EB22-43B7-9C69-5AF20CC463A6;R$ 180,00;-R$ 4,66;R$ 175,34;
10/05/2025;Mastercard Débito;1 venda;FE0A52A4-10FD-43A0-ABAE-A673E26ED60F;R$ 90,00;-R$ 1,31;R$ 88,69;
10/05/2025;Mastercard Crédito;1 venda;3E843A3D-CE74-45E0-A31B-7D3320EB38FF;R$ 90,00;-R$ 2,33;R$ 87,67;
10/05/2025;Mastercard Crédito;1 venda;05BDA675-23B3-4547-BE25-3AC0383C7F2C;R$ 270,00;-R$ 6,99;R$ 263,01;
10/05/2025;Mastercard Crédito;1 venda;23CC1DE4-333F-47E6-85F8-6339AE243EE7;R$ 50,00;-R$ 1,88;R$ 48,12;
10/05/2025;Mastercard Crédito;1 venda;E225CD87-FC22-4828-ACA2-77919761B72F;R$ 180,00;-R$ 4,66;R$ 175,34;
10/05/2025;Mastercard Crédito;1 venda;C79FFD41-8675-41E1-9245-48B46CA037E9;R$ 90,00;-R$ 3,38;R$ 86,62;
10/05/2025;Mastercard Crédito;1 venda;17C57BB2-3795-4CCD-9DB0-A9544101F54E;R$ 260,00;-R$ 6,73;R$ 253,27;
10/05/2025;;;Total agregado do dia;R$ 1.980,00;-R$ 53,99;R$ 1.926,01;
