IGREJA GRACA VIDA;Emitido em 27 de maio de 2025, 23:39;
CNPJ: 19.786.779/0001-40;Período: 28/01/2025 até 27/05/2025;
;290 - PagSeguro Internet S/A
;Agência 0001 - Conta Corrente 73061983-0

Recebido bruto total;R$ 3.950,00;
Descontos;-R$ 114,65;
Valor antecipado bruto;R$ 0,00;
Recebido líquido total;R$ 3.835,35;

Data da liberação;Forma de pagamento;Qtd. de vendas;Código de recebimento;Valor bruto;Descontos;Valor líquido
24/05/2025;Elo Crédito;1 venda;0CC4B502-112A-418F-8ECF-AA89D3F4690E;R$ 40,00;-R$ 1,77;R$ 38,23;
24/05/2025;Mastercard Crédito;1 venda;915F2E19-651D-439D-9E46-8DCFDF5E08BD;R$ 20,00;-R$ 0,75;R$ 19,25;
24/05/2025;Mastercard Crédito;1 venda;88D0E7C2-6C3F-478A-B9C0-C6F1BB6D28B7;R$ 90,00;-R$ 2,33;R$ 87,67;
24/05/2025;Mastercard Crédito;1 venda;D8327F42-55DE-4E43-81B2-26E5E8B7F2CB;R$ 90,00;-R$ 3,38;R$ 86,62;
24/05/2025;Visa Crédito;1 venda;76F17471-EADF-475B-9B2A-0264EE1DEBBD;R$ 90,00;-R$ 3,38;R$ 86,62;
24/05/2025;Mastercard Débito;1 venda;CEB4F096-8C1F-493C-BAE8-B817583D6BA9;R$ 100,00;-R$ 1,45;R$ 98,55;
24/05/2025;;;Total agregado do dia;R$ 430,00;-R$ 13,06;R$ 416,94;
17/05/2025;Mastercard Crédito;1 venda;A7F2BF04-3A59-4966-8F8C-9749FF46BA96;R$ 170,00;-R$ 6,39;R$ 163,61;
17/05/2025;Mastercard Crédito;1 venda;6E5BED82-EF6A-465C-8F5B-B445CE74D21B;R$ 340,00;-R$ 8,81;R$ 331,19;
17/05/2025;Mastercard Crédito;1 venda;42618379-FAA2-4935-830E-B165754D856E;R$ 90,00;-R$ 2,33;R$ 87,67;
17/05/2025;Mastercard Crédito;1 venda;2579FF6C-3AAD-471B-9787-3BE749026388;R$ 170,00;-R$ 6,39;R$ 163,61;
17/05/2025;Mastercard Crédito;1 venda;928A2CAF-5F27-425B-8C58-2C56E7936E87;R$ 50,00;-R$ 1,88;R$ 48,12;
17/05/2025;Mastercard Crédito;1 venda;FC5F581F-C69A-413B-A5AB-591711190643;R$ 270,00;-R$ 10,15;R$ 259,85;
17/05/2025;Visa Crédito;1 venda;456594CB-58F1-4429-AC2E-41C2207C0EC8;R$ 270,00;-R$ 6,99;R$ 263,01;
17/05/2025;Mastercard Crédito;1 venda;EB0056FB-ABED-4E8D-81D9-617248943AA9;R$ 180,00;-R$ 4,66;R$ 175,34;
17/05/2025;;;Total agregado do dia;R$ 1.540,00;-R$ 47,60;R$ 1.492,40;
10/05/2025;Mastercard Crédito;1 venda;C4361555-47EB-4DAA-B72A-93734F983FD7;R$ 90,00;-R$ 3,38;R$ 86,62;
10/05/2025;Visa Crédito;1 venda;3E746AAE-33CA-4726-B0D5-1C4FF3CA24CD;R$ 350,00;-R$ 9,07;R$ 340,93;
10/05/2025;Mastercard Crédito;1 venda;01AAC9BF-E91A-4EA7-BDC7-DC0EDF5CC999;R$ 90,00;-R$ 3,38;R$ 86,62;
10/05/2025;Mastercard Crédito;1 venda;24A011DF-67A7-473C-A4F0-65F24A5923E9;R$ 240,00;-R$ 6,22;R$ 233,78;
10/05/2025;Visa Crédito;1 venda;40D51013-EB22-43B7-9C69-5AF20CC463A6;R$ 180,00;-R$ 4,66;R$ 175,34;
10/05/2025;Mastercard Débito;1 venda;FE0A52A4-10FD-43A0-ABAE-A673E26ED60F;R$ 90,00;-R$ 1,31;R$ 88,69;
10/05/2025;Mastercard Crédito;1 venda;3E843A3D-CE74-45E0-A31B-7D3320EB38FF;R$ 90,00;-R$ 2,33;R$ 87,67;
10/05/2025;Mastercard Crédito;1 venda;05BDA675-23B3-4547-BE25-3AC0383C7F2C;R$ 270,00;-R$ 6,99;R$ 263,01;
10/05/2025;Mastercard Crédito;1 venda;23CC1DE4-333F-47E6-85F8-6339AE243EE7;R$ 50,00;-R$ 1,88;R$ 48,12;
10/05/2025;Mastercard Crédito;1 venda;E225CD87-FC22-4828-ACA2-77919761B72F;R$ 180,00;-R$ 4,66;R$ 175,34;
10/05/2025;Mastercard Crédito;1 venda;C79FFD41-8675-41E1-9245-48B46CA037E9;R$ 90,00;-R$ 3,38;R$ 86,62;
10/05/2025;Mastercard Crédito;1 venda;17C57BB2-3795-4CCD-9DB0-A9544101F54E;R$ 260,00;-R$ 6,73;R$ 253,27;
10/05/2025;;;Total agregado do dia;R$ 1.980,00;-R$ 53,99;R$ 1.926,01;
